trial,ns
1499,41.0
1500,40.0
1501,40.0
1502,41.0
1503,41.0
1504,41.0
1505,41.0
1506,42.0
1507,40.0
1508,41.0
1509,40.0
1510,40.0
1511,40.0
1512,40.0
1513,41.0
1514,41.0
1515,39.0
1516,41.0
1517,42.0
1518,40.0
1519,41.0
1520,40.0
1521,41.0
1522,40.0
1523,41.0
1524,41.0
1525,41.0
1526,40.0
1527,41.0
1528,42.0
1529,41.0
1530,41.0
1531,41.0
1532,41.0
1533,41.0
1534,41.0
1535,40.0
1536,43.0
1537,41.0
1538,42.0
1539,41.0
1540,41.0
1541,39.0
1542,41.0
1543,40.0
1544,41.0
1545,41.0
1546,41.0
1547,41.0
1548,41.0
1549,40.0
1550,41.0
1551,42.0
1552,41.0
1553,41.0
1554,39.0
1555,41.0
1556,41.0
1557,41.0
1558,41.0
1559,40.0
1560,41.0
1561,41.0
1562,39.0
1563,41.0
1564,42.0
1565,42.0
1566,42.0
1567,40.0
1568,40.0
1569,41.0
1570,41.0
1571,39.0
1572,41.0
1573,42.0
1574,40.0
1575,41.0
1576,40.0
1577,41.0
1578,40.0
1579,41.0
1580,40.0
1581,42.0
1582,41.0
1583,39.0
1584,42.0
1585,41.0
1586,40.0
1587,40.0
1588,41.0
1589,42.0
1590,41.0
1591,41.0
1592,40.0
1593,40.0
1594,41.0
1595,41.0
1596,40.0
1597,40.0
1598,41.0
1599,40.0
1600,40.0
1601,40.0
1602,41.0
1603,41.0
1604,41.0
1605,41.0
1606,41.0
1607,40.0
1608,41.0
1609,40.0
1610,42.0
1611,40.0
1612,42.0
1613,40.0
1614,40.0
1615,40.0
1616,41.0
1617,40.0
1618,39.0
1619,41.0
1620,41.0
1621,40.0
1622,41.0
1623,40.0
1624,42.0
1625,41.0
1626,41.0
1627,41.0
1628,41.0
1629,41.0
1630,42.0
1631,40.0
1632,42.0
1633,40.0
1634,41.0
1635,41.0
1636,39.0
1637,41.0
1638,41.0
1639,41.0
1640,41.0
1641,39.0
1642,42.0
1643,41.0
1644,41.0
1645,41.0
1646,41.0
1647,41.0
1648,41.0
1649,41.0
1650,41.0
1651,40.0
1652,41.0
1653,41.0
1654,40.0
1655,41.0
1656,41.0
1657,39.0
1658,41.0
1659,41.0
1660,40.0
1661,41.0
1662,40.0
1663,41.0
1664,41.0
1665,41.0
1666,41.0
1667,42.0
1668,40.0
1669,42.0
1670,40.0
1671,41.0
1672,40.0
1673,41.0
1674,41.0
1675,40.0
1676,40.0
1677,41.0
1678,41.0
1679,40.0
1680,41.0
1681,41.0
1682,39.0
1683,39.0
1684,40.0
1685,40.0
1686,41.0
1687,41.0
1688,40.0
1689,41.0
1690,41.0
1691,39.0
1692,40.0
1693,41.0
1694,41.0
1695,42.0
1696,41.0
1697,41.0
1698,41.0
1699,42.0
1700,40.0
1701,40.0
1702,40.0
1703,41.0
1704,41.0
1705,42.0
1706,41.0
1707,41.0
1708,42.0
1709,40.0
1710,41.0
1711,41.0
1712,39.0
1713,41.0
1714,40.0
1715,40.0
1716,41.0
1717,42.0
